,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
6654,Deck Boat,Makma power boats,Used boat,2005,9.07,3.31,GRP,146,95765.0,Netherlands
6655,Sport Boat,Cobalt power boats,"Used boat,Gas",2014,8.68,2.59,GRP,259,95765.0,Poland
6656,Sport Boat,MasterCraft power boats,"new boat from stock,Unleaded",0,6.09,2.46,GRP,68,95551.0,Germany
6658,Flybridge,Princess power boats,"Used boat,Diesel",1995,12.01,3.89,GRP,236,95230.0,Italy
6659,Flybridge,Astondoa power boats,"Used boat,Diesel",1991,14.58,4.54,GRP,105,95230.0,Spain
6660,Flybridge,Sealine power boats,"Used boat,Diesel",1994,11.3,3.7,GRP,196,95230.0,Italy
6661,Flybridge,Ferretti power boats,"Used boat,Diesel",1993,11.95,3.96,GRP,84,95230.0,Italy
6662,Flybridge,Ferretti power boats,"Used boat,Diesel",1993,11.95,3.96,GRP,48,95230.0,Italy
6663,Sport Boat,Bavaria power boats,"Used boat,Unleaded",2015,9.35,2.99,GRP,217,95230.0,Spain
6665,Flybridge,Chris Craft power boats,"Used boat,Diesel",1976,11.4,3.8,GRP,56,95230.0,Italy
6666,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1991,13.68,4.12,GRP,74,95230.0,Portugal
6667,Motor Yacht,Bellcraft power boats,"Used boat,Diesel",2005,9.76,3.43,GRP,68,95230.0,Italy
6668,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2005,9.14,3.02,GRP,56,95230.0,Germany
6669,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,11.89,3.65,GRP,156,95230.0,Spain
6675,Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",2016,8.8,2.97,GRP,121,95230.0,Spain
6677,Pilothouse,B̩n̩teau power boats,"Used boat,Unleaded",2018,7.99,2.8,PVC,63,95230.0,France
6678,Offshore Boat,Hunton power boats,"Used boat,Diesel",1990,13.0,3.0,GRP,91,95230.0,Germany
6681,Pilothouse,B̩n̩teau power boats,"Used boat,Diesel",2008,9.95,3.4,PVC,78,95230.0,France
6683,Flybridge,Horizon Yacht power boats,"Used boat,Diesel",2000,14.88,4.25,GRP,219,95230.0,he
6684,Motor Yacht,Delphia power boats,Used boat,2015,10.5,3.45,GRP,79,95230.0,Slovenia
6685,Motor Yacht,Hardy Marine power boats,Used boat,2000,11.5,3.66,GRP,119,95230.0,Finland
6686,Motor Yacht,Pedro power boats,"Used boat,Diesel",1998,10.5,3.5,Steel,149,95230.0,Germany
6687,Trawler,Barkas power boats,Used boat,2002,11.0,3.8,Steel,92,95230.0,Netherlands
6688,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1991,11.7,3.5,GRP,378,95230.0,Austria
6689,Sport Boat,Windy power boats,"Used boat,Unleaded",2004,8.45,2.68,GRP,332,95230.0,Germany
6690,Sport Boat,Sunseeker power boats,"Used boat,Diesel",2000,11.06,3.11,GRP,245,95230.0,Spain
6692,Flybridge,Sea Ray power boats,"Used boat,Diesel",1996,13.4,4.34,GRP,226,95230.0,Turkey
6694,Motor Yacht,Regal power boats,"Used boat,Diesel",1992,12.8,3.98,GRP,77,95230.0,Netherlands
6697,Motor Yacht,Sealine power boats,"Used boat,Diesel",2006,11.51,3.75,PVC,108,95230.0,France
6698,Motor Yacht,Ilver power boats,"Used boat,Diesel",1994,11.8,3.6,GRP,78,95230.0,Italy
6699,Classic,Riva power boats,"Used boat,Unleaded",1970,6.55,2.33,Wood,534,95230.0,Italy
6701,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1995,11.83,3.83,GRP,42,95230.0,Mali
6702,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2007,9.52,3.32,GRP,233,95230.0,Netherlands
6703,Classic,van de Werf power boats,"Used boat,Diesel",1901,11.0,3.0,Steel,868,95230.0,Germany
6704,Flybridge,Fairline power boats,"Used boat,Diesel",1990,12.91,4.18,GRP,132,95230.0,Italy
6705,Motor Yacht,Sessa power boats,"Used boat,Diesel",2007,10.6,3.53,GRP,78,94160.0,Italy
6706,Motor Yacht,Rhea power boats,"Used boat,Diesel",2005,9.75,3.3,PVC,118,94160.0,France
6707,"Bowrider,Cabin Boat,Deck Boat",Bavaria power boats,"Used boat,Unleaded",2016,8.3,2.96,GRP,435,94160.0,Spain
6708,Motor Yacht,Ilver power boats,"Used boat,Diesel",1992,11.8,3.6,GRP,55,94160.0,Italy
6709,Motor Yacht,Tornado power boats,Used boat,2005,10.79,3.86,GRP,99,94160.0,Italy
6710,Cabin Boat,Storebro power boats,"Used boat,Diesel",1973,10.35,3.2,Wood,335,94160.0,Germany
6712,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",2020,7.25,2.57,GRP,88,94053.0,Germany
6713,"Motor Yacht,Wakeboard/Wakesurf",Malibu power boats,"Used boat,Unleaded",2017,7.01,2.59,GRP,826,105450.00000000001,Switzerland
6714,Flybridge,Nimbus power boats,"Used boat,Unleaded",1996,10.15,3.37,GRP,406,105450.00000000001,Switzerland
6715,"Classic,Sport Boat,Water ski",Boesch power boats,"Used boat,Unleaded",1971,5.8,2.1,Wood,310,105450.00000000001,Switzerland
6716,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2020,7.99,2.54,GRP,361,93929.95000000001,Switzerland
6717,Sport Boat,Ganz Boats power boats,new boat from stock,2019,6.8,2.35,GRP,110,93839.0,Italy
6718,Sport Boat,Heinrich power boats,"Display Model,Unleaded",0,6.0,1.7,GRP,145,105228.00000000001,Switzerland
6719,Motor Yacht,Skilso power boats,Used boat,2000,9.9,3.2,GRP,141,93625.0,Netherlands
6720,Motor Yacht,Pfeil power boats,"Used boat,Diesel",1992,13.65,4.0,GRP,114,93625.0,Germany
6721,Motor Yacht,Scand power boats,"Used boat,Diesel",2004,11.0,3.45,GRP,201,93625.0,Germany
6724,Bowrider,Regal power boats,"new boat from stock,Unleaded",2020,6.8,2.5,GRP,43,93549.03,Germany
6725,Pilothouse,AMT power boats,"new boat from stock,Unleaded",2020,6.4,2.4,GRP,135,104550.90000000001,Switzerland
6726,Trawler,Kramer power boats,"Used boat,Diesel",1989,14.07,4.27,Steel,118,93090.0,Germany
6727,Sport Boat,B̩n̩teau power boats,Used boat,2009,9.32,3.33,GRP,72,93090.0,Malta
6728,Sport Boat,Prestige Yachts power boats,"Used boat,Diesel",2005,10.54,3.64,PVC,102,93090.0,Spain
6729,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,11.34,3.49,GRP,76,93090.0,Italy
6730,Flybridge,Astondoa power boats,"Used boat,Diesel",1999,11.39,3.97,GRP,110,93090.0,Spain
6731,Motor Yacht,Doral power boats,"Used boat,Diesel",2002,9.6,3.4,GRP,308,93090.0,Germany
6732,Sport Boat,Cranchi power boats,"Used boat,Diesel",2001,10.35,3.49,PVC,76,93090.0,Spain
6733,Flybridge,Sealine power boats,"Used boat,Diesel",1997,10.59,3.35,GRP,150,93090.0,Portugal
6734,Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2009,10.0,3.33,GRP,129,93090.0,Italy
6735,Flybridge,Bertram Yacht power boats,"Used boat,Unleaded",1980,8.7,3.35,GRP,41,92020.0,Italy
6737,Fishing Boat,Boston Whaler power boats,"Used boat,Diesel",2001,11.43,4.03,GRP,122,92020.0,Italy
6738,Motor Yacht,Sessa power boats,"Used boat,Diesel",2007,10.6,3.53,GRP,73,92020.0,Italy
6739,Motor Yacht,Pfeil power boats,"Used boat,Diesel",1987,13.28,4.0,GRP,81,92020.0,Germany
6740,Motor Yacht,Pfeil power boats,"Used boat,Diesel",1987,13.28,4.0,GRP,69,92020.0,Germany
6741,Motor Yacht,Ferretti power boats,"Used boat,Diesel",1991,14.59,4.28,GRP,60,92020.0,Italy
6743,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1996,10.0,3.3,Plastic,832,92020.0,Germany
6744,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,6.8,2.5,GRP,128,91979.34000000001,Germany
6745,Sport Boat,Regal power boats,"new boat from stock,Unleaded",0,7.4,2.5,GRP,51,91913.0,Germany
6746,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",0,8.1,2.55,GRP,69,91913.0,Germany
6747,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2017,8.88,2.55,GRP,135,91913.0,Spain
6748,Motor Yacht,Princess power boats,"Used boat,Diesel",1995,11.76,3.86,GRP,263,102120.00000000001,Switzerland
6749,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,8.7,2.7,GRP,210,91645.5,Switzerland
6750,Cabin Boat,Eolo power boats,"new boat from stock,Unleaded",2019,7.3,2.55,GRP,116,91624.1,Germany
6751,Motor Yacht,Sealine power boats,"Used boat,Diesel",1999,10.5,3.35,GRP,397,102675.00000000001,Switzerland
6752,Deck Boat,Jeanneau power boats,new boat from stock,2020,7.37,2.44,PVC,52,96300.0,United
